taxonID	name	language
249	beekforel	nld
499	cockle brillon	eng
64	dakrat	nld
340	draadsalamander	nld
80	duif	nld
468	eetbare hartschelp	nld
537	gevlekte ribkaurie	nld
499	gortschelp	nld
333	heihagedis	nld
36	kleine zeehond	nld
553	olifantstand	nld
477	otterschelp	nld
79	soepeend	nld
78	soepgans	nld
65	waterrat	nld
444	witgerande tuinslak	nld
249	zeeforel	nld
499	sand gaper	eng
64	scheepsrat	nld
64	huisrat	nld
340	zwemvoetsalamander	nld
80	huisduif	nld
468	kokkel	nld
537	koffieboontje	nld
499	grote strandgaper	nld
333	duinhagedis	nld
36	stinkrob	nld
553	stoottand	nld
477	ovale slijkschelp	nld
79	eend	nld
78	gans	nld
65	rioolrat	nld
444	wilde tuinslak	nld
460	common oyster	eng
353	grass frog	eng
460	oester	nld
353	bruine kikvors	nld
471	artemisschelp	nld
462	astarte montagui	nld
440	behaarde slak	nld
194	bonte kraai	nld
350	boomkikvors	nld
47	bosspitsmuis	nld
366	bronblaashorenslak	nld
623	ruigpootbuizerd	nld
623	arendbuizerd	nld
623	buizerd	nld
431	donkere glimslak	nld
348	duinpad	nld
572	echte baarzen	nld
624	eendachtigen	nld
510	europese tolhoren	nld
1016	europese zeekreeft	nld
4	everzwijn	nld
416	gekielde regenslak	nld
343	gevlekte landsalamander	nld
543	gewone noordhoren	nld
339	gewone salamander	nld
445	gewone tuinslak	nld
950	gewone zeeoor	nld
419	gladde regenslak	nld
1471	glanzende parelmoerneut	nld
351	groene kikvors	nld
432	grofgesteepte glansslak	nld
369	grote poelslak	nld
921	grote spoelhoren	nld
341	grote watersalamander	nld
54	hamster	nld
1015	heremietkreeft	nld
156	kanoetstrandloper	nld
384	kapslakje	nld
3	kat	nld
37	kegelrob	nld
356	kikvorsen	nld
75	kip	nld
332	kleine hagedis	nld
364	kleine pluimdrager	nld
413	kleine regenslak	nld
374	kustslakje	nld
429	lookslakje	nld
995	mensenluis	nld
576	Moeflon	nld
12	oerrund	nld
504	paalworm	nld
451	paardemossel	nld
503	pholade	nld
377	platte posthoren	nld
320	platvis	nld
973	poliepen	nld
570	poonachtige	nld
528	priemhorentje	nld
641	rallen en bleshoenders	nld
629	reigers en roerdompen	nld
102	rietgans	nld
225	rietvoorn	nld
390	rivier-erwtenmossel	nld
361	riviermoerasslak	nld
621	robben	nld
932	rondmondslak	nld
418	schorshorentje	nld
657	snipachtigen	nld
441	steenslak	nld
385	stroommossel	nld
922	struikslak	nld
494	tafelmesheft	nld
480	tapijtschelp	nld
533	tepelhoren	nld
919	tolslakje	nld
120	toppereend	nld
1056	tortelduif	nld
549	trapgevel	nld
38	tuimelaar	nld
1023	tweevleugeligen	nld
414	vale regenslak	nld
190	vlaamse gaai	nld
464	vorkstrepige telline	nld
299	zeebarbeel	nld
264	zeepaling	nld
1054	zwaardwalvis	nld
389	zwanemossel	nld
478	banded wedge-shell	eng
452	blue mussel	eng
531	boat shell	eng
284	boyers sand smelt	eng
267	brisling	eng
33	common hare	eng
518	common periwinkle	eng
492	common razor	eng
260	common skate	eng
180	dove	eng
520	dwarf winkle	eng
20	ermine	eng
487	furrow shell	eng
606	irish hare	eng
252	lesser spotted dogfish	eng
258	monkfish	eng
292	pogge	eng
275	pollack	eng
519	rough winkle	eng
295	scad	eng
620	sei whale	eng
257	spurdog	eng
157	stint	eng
474	venus shell	eng
472	warted venus shell	eng
592	wild sheep	eng
