ID	parentID	scientificName	kingdom	phylum	class	order	family	genus	rank	status
1		Equus asinus	Animalia	Chordata	Mammalia	Perissodactyla	Equidae	Equus	species	accepted
2		Canis familiaris	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	species	accepted
3		Felis catus	Animalia	Chordata	Mammalia	Carnivora	Felidae	Felis	species	accepted
4		Sus scrofa	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	species	accepted
6		Cervus elaphus	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Cervus	species	accepted
7		Capreolus capreolus	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Capreolus	species	accepted
8		Dama dama	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Dama	species	accepted
9		Alces alces	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Alces	species	accepted
10		Rangifer tarandus	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Rangifer	species	accepted
11		Bison priscus	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Bison	species	accepted
12		Bos primigenius	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	species	accepted
14		Ursus arctos	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ursus	species	accepted
15		Meles meles	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	species	accepted
16		Lutra lutra	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lutra	species	accepted
17		Martes martes	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	species	accepted
18		Martes foina	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	species	accepted
19		Martes	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	genus	accepted
20		Mustela erminea	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	species	accepted
21		Mustela nivalis	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	species	accepted
22		Mustelidae	Animalia	Chordata	Mammalia	Carnivora	Mustelidae		family	accepted
24		Felis silvestris	Animalia	Chordata	Mammalia	Carnivora	Felidae	Felis	species	accepted
25		Lynx lynx	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	species	accepted
26		Vulpes vulpes	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	species	accepted
27		Canis lupus	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	species	accepted
28		Talpa europaea	Animalia	Chordata	Mammalia	Insectivora	Talpidae	Talpa	species	accepted
29		Erinaceus europaeus	Animalia	Chordata	Mammalia	Insectivora	Erinaceidae	Erinaceus	species	accepted
30		Sciurus vulgaris	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	species	accepted
31		Castor fiber	Animalia	Chordata	Mammalia	Rodentia	Castoridae	Castor	species	accepted
32		Oryctolagus cuniculus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Oryctolagus	species	accepted
33		Lepus europaeus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	species	accepted
34		Leporidae	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae		family	accepted
35		Phoca vitulina	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Phoca	species	accepted
36		Pusa hispida	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pusa	species	accepted
37		Halichoerus grypus	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Halichoerus	species	accepted
38		Tursiops truncatus	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	species	accepted
