nameID	kingdom	phylum	class	order	family	genus
1	Animalia	Chordata	Mammalia	Perissodactyla	Equidae	Equus
2	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis
3	Animalia	Chordata	Mammalia	Carnivora	Felidae	Felis
4	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus
6	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Cervus
7	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Capreolus
8	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Dama
9	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Alces
10	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Rangifer
11	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Bison
12	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Bos
14	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ursus
15	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles
16	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lutra
17	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes
18	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes
19	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes
20	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela
21	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela
22	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	
24	Animalia	Chordata	Mammalia	Carnivora	Felidae	Felis
25	Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx
26	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes
27	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis
28	Animalia	Chordata	Mammalia	Insectivora	Talpidae	Talpa
29	Animalia	Chordata	Mammalia	Insectivora	Erinaceidae	Erinaceus
30	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus
31	Animalia	Chordata	Mammalia	Rodentia	Castoridae	Castor
32	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Oryctolagus
33	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus
34	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	
35	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Phoca
36	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Pusa
37	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Halichoerus
38	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
39	Animalia	Chordata	Mammalia	Cetacea	Phocoenidae	Phocoena
40	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter
41	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera
42	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera
43	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Megaptera
44	Animalia	Chordata	Mammalia	Cetacea	Balaenidae	Eubalaena
45	Animalia	Chordata	Mammalia	Cetacea	Balaenidae	Balaena
46	Animalia	Chordata	Mammalia	Cetacea		
47	Animalia	Chordata	Mammalia	Insectivora	Soricidae	Sorex
48	Animalia	Chordata	Mammalia	Insectivora	Soricidae	Sorex
49	Animalia	Chordata	Mammalia	Insectivora	Soricidae	Neomys
50	Animalia	Chordata	Mammalia	Insectivora	Soricidae	Crocidura
51	Animalia	Chordata	Mammalia	Insectivora	Soricidae	Crocidura
52	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Eliomys
53	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Muscardinus
54	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Cricetus
55	Animalia	Chordata	Mammalia	Rodentia	Arvicolidae	Clethrionomys
56	Animalia	Chordata	Mammalia	Rodentia	Arvicolidae	Microtus
57	Animalia	Chordata	Mammalia	Rodentia	Arvicolidae	Microtus
58	Animalia	Chordata	Mammalia	Rodentia	Arvicolidae	Microtus
59	Animalia	Chordata	Mammalia	Rodentia	Arvicolidae	Arvicola
60	Animalia	Chordata	Mammalia	Rodentia	Arvicolidae	Pitymys
61	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus
62	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus
63	Animalia	Chordata	Mammalia	Rodentia	Muridae	Micromys
64	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus
65	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus
66	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus
68	Animalia	Chordata	Mammalia	Chiroptera		
69	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo
73	Animalia	Chordata	Mammalia			
75	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus
76	Animalia	Chordata	Aves	Galliformes	Phasianidae	Pavo
77	Animalia	Chordata	Aves	Galliformes	Phasianidae	Meleagris
78	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser
79	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas
80	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columba
85	Animalia	Chordata	Aves	Gaviiformes	Gaviidae	Gavia
86	Animalia	Chordata	Aves	Gaviiformes	Gaviidae	Gavia
87	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	
88	Animalia	Chordata	Aves	Procellariiformes	Sulidae	Sula
89	Animalia	Chordata	Aves	Pelecaniformes	Pelecanidae	Pelecanus
90	Animalia	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax
91	Animalia	Chordata	Aves	Ciconiiformes	Ardeidae	Botaurus
92	Animalia	Chordata	Aves	Ciconiiformes	Ardeidae	Egretta
93	Animalia	Chordata	Aves	Ciconiiformes	Ardeidae	Ardea
94	Animalia	Chordata	Aves	Ciconiiformes	Threskiornithidae	Platalea
95	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia
96	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia
97	Animalia	Chordata	Aves	Anseriformes	Anatidae	Cygnus
98	Animalia	Chordata	Aves	Anseriformes	Anatidae	Cygnus
100	Animalia	Chordata	Aves	Anseriformes	Anatidae	Cygnus
101	Animalia	Chordata	Aves	Anseriformes	Anatidae	Cygnus
102	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser
103	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser
104	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser
105	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser
106	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser
107	Animalia	Chordata	Aves	Anseriformes	Anatidae	Branta
108	Animalia	Chordata	Aves	Anseriformes	Anatidae	Branta
109	Animalia	Chordata	Aves	Anseriformes	Anatidae	Tadorna
110	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas
111	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas
112	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas
113	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas
115	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas
116	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas
117	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas
118	Animalia	Chordata	Aves	Anseriformes	Anatidae	Netta
119	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aythya
120	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aythya
122	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aythya
123	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aythya
124	Animalia	Chordata	Aves	Anseriformes	Anatidae	Somateria
125	Animalia	Chordata	Aves	Anseriformes	Anatidae	Clangula
126	Animalia	Chordata	Aves	Anseriformes	Anatidae	Melanitta
127	Animalia	Chordata	Aves	Anseriformes	Anatidae	Melanitta
128	Animalia	Chordata	Aves	Anseriformes	Anatidae	Bucephala
129	Animalia	Chordata	Aves	Anseriformes	Anatidae	Mergus
130	Animalia	Chordata	Aves	Anseriformes	Anatidae	Mergus
